category_id,name,price,description,image
1,Nike T-Shirt,25,Cotton sports t-shirt,https://via.placeholder.com/150?text=Nike+T-Shirt
1,Adidas Hoodie,80,Warm hoodie for winter,https://via.placeholder.com/150?text=Adidas+Hoodie
1,Puma Shorts,30,Lightweight running shorts,https://via.placeholder.com/150?text=Puma+Shorts
1,Reebok Shoes,90,Comfortable running shoes,https://via.placeholder.com/150?text=Reebok+Shoes
1,UnderArmour Cap,20,Sports baseball cap,https://via.placeholder.com/150?text=UnderArmour+Cap
2,Apple iPhone 15,1200,Latest smartphone,https://via.placeholder.com/150?text=iPhone+15
2,Samsung Galaxy S23,1100,High-performance smartphone,https://via.placeholder.com/150?text=Galaxy+S23
2,Sony Headphones,150,Noise-canceling headphones,https://via.placeholder.com/150?text=Sony+Headphones
2,Dell Laptop,950,Powerful work laptop,https://via.placeholder.com/150?text=Dell+Laptop
2,Canon Camera,800,Digital camera for photography,https://via.placeholder.com/150?text=Canon+Camera
3,Ray-Ban Sunglasses,120,Stylish sunglasses,https://via.placeholder.com/150?text=Ray-Ban+Sunglasses
3,Fossil Watch,180,Leather strap wristwatch,https://via.placeholder.com/150?text=Fossil+Watch
3,Coach Handbag,250,Designer handbag,https://via.placeholder.com/150?text=Coach+Handbag
3,Nike Sports Bag,60,Gym backpack,https://via.placeholder.com/150?text=Nike+Sports+Bag
3,Apple AirPods,200,Wireless earphones,https://via.placeholder.com/150?text=AirPods
4,Instant Pot,120,Electric pressure cooker,https://via.placeholder.com/150?text=Instant+Pot
4,Dyson Vacuum,350,High-efficiency vacuum cleaner,https://via.placeholder.com/150?text=Dyson+Vacuum
4,KitchenAid Mixer,400,Stand mixer for baking,https://via.placeholder.com/150?text=KitchenAid+Mixer
4,Philips Toaster,50,2-slice toaster,https://via.placeholder.com/150?text=Philips+Toaster
4,Ninja Blender,80,High-speed blender,https://via.placeholder.com/150?text=Ninja+Blender
5,Treadmill,600,Home fitness treadmill,https://via.placeholder.com/150?text=Treadmill
5,Dumbbell Set,100,Adjustable dumbbells,https://via.placeholder.com/150?text=Dumbbells
5,Yoga Mat,35,Non-slip exercise mat,https://via.placeholder.com/150?text=Yoga+Mat
5,Exercise Bike,450,Stationary bike for home,https://via.placeholder.com/150?text=Exercise+Bike
5,Jump Rope,15,Speed skipping rope,https://via.placeholder.com/150?text=Jump+Rope
1,Nike Socks,12,Cotton ankle socks,https://via.placeholder.com/150?text=Nike+Socks
1,Adidas Cap,18,Baseball cap,https://via.placeholder.com/150?text=Adidas+Cap
1,Puma Jacket,85,Sports jacket,https://via.placeholder.com/150?text=Puma+Jacket
1,Reebok Hoodie,75,Warm hoodie,https://via.placeholder.com/150?text=Reebok+Hoodie
1,UnderArmour Shorts,28,Running shorts,https://via.placeholder.com/150?text=UnderArmour+Shorts
2,"Samsung TV 55""",700,LED Smart TV,https://via.placeholder.com/150?text=Samsung+TV
2,LG Monitor,250,4K computer monitor,https://via.placeholder.com/150?text=LG+Monitor
2,Bose Speakers,300,Wireless Bluetooth speakers,https://via.placeholder.com/150?text=Bose+Speakers
2,HP Printer,150,All-in-one printer,https://via.placeholder.com/150?text=HP+Printer
2,GoPro Hero 12,450,Action camera,https://via.placeholder.com/150?text=GoPro+Hero+12
3,Gucci Wallet,200,Leather wallet,https://via.placeholder.com/150?text=Gucci+Wallet
3,Michael Kors Bag,230,Designer handbag,https://via.placeholder.com/150?text=Michael+Kors+Bag
3,Apple Watch,350,Smartwatch with fitness tracking,https://via.placeholder.com/150?text=Apple+Watch
3,Fitbit Versa,180,Smart fitness watch,https://via.placeholder.com/150?text=Fitbit+Versa
3,Herschel Backpack,90,Travel backpack,https://via.placeholder.com/150?text=Herschel+Backpack
4,Cuisinart Coffee Maker,120,Automatic coffee machine,https://via.placeholder.com/150?text=Cuisinart+Coffee+Maker
4,Breville Kettle,60,Electric kettle,https://via.placeholder.com/150?text=Breville+Kettle
4,Samsung Microwave,150,Convection microwave,https://via.placeholder.com/150?text=Samsung+Microwave
4,Instant Pot Duo,130,Multi-function pressure cooker,https://via.placeholder.com/150?text=Instant+Pot+Duo
4,Vitamix Blender,400,High-power blender,https://via.placeholder.com/150?text=Vitamix+Blender
5,Bowflex Weights,600,Adjustable home gym set,https://via.placeholder.com/150?text=Bowflex+Weights
5,Kettlebell Set,90,Cast iron kettlebells,https://via.placeholder.com/150?text=Kettlebells
5,Resistance Bands,25,Fitness resistance bands,https://via.placeholder.com/150?text=Resistance+Bands
5,Medicine Ball,30,Weighted ball for workouts,https://via.placeholder.com/150?text=Medicine+Ball
5,Pull-Up Bar,45,Doorway pull-up bar,https://via.placeholder.com/150?text=Pull-Up+Bar
1,Nike Shorts,27,Casual sports shorts,https://via.placeholder.com/150?text=Nike+Shorts
1,Adidas T-Shirt,22,Short sleeve sports t-shirt,https://via.placeholder.com/150?text=Adidas+T-Shirt
1,Puma Cap,17,Baseball cap,https://via.placeholder.com/150?text=Puma+Cap
1,Reebok Shoes,88,Comfortable running shoes,https://via.placeholder.com/150?text=Reebok+Shoes2
1,UnderArmour Hoodie,78,Sports hoodie,https://via.placeholder.com/150?text=UnderArmour+Hoodie2
2,Apple MacBook,1500,Laptop for professionals,https://via.placeholder.com/150?text=MacBook
2,Dell XPS,1200,High performance laptop,https://via.placeholder.com/150?text=Dell+XPS
2,Samsung Galaxy Tab,600,Tablet device,https://via.placeholder.com/150?text=Galaxy+Tab
2,Sony PlayStation 5,500,Game console,https://via.placeholder.com/150?text=PS5
2,Nintendo Switch,400,Portable game console,https://via.placeholder.com/150?text=Switch
3,Ray-Ban Glasses,125,Stylish eyewear,https://via.placeholder.com/150?text=Ray-Ban+Glasses
3,Fossil Watch,175,Leather strap watch,https://via.placeholder.com/150?text=Fossil+Watch2
3,Coach Wallet,180,Designer wallet,https://via.placeholder.com/150?text=Coach+Wallet2
3,Adidas Bag,65,Sports backpack,https://via.placeholder.com/150?text=Adidas+Bag
3,Nike Socks,14,Cotton socks,https://via.placeholder.com/150?text=Nike+Socks2
4,KitchenAid Mixer,400,Stand mixer for baking,https://via.placeholder.com/150?text=KitchenAid+Mixer2
4,Philips Blender,85,High-speed blender,https://via.placeholder.com/150?text=Philips+Blender
4,Dyson Hair Dryer,300,Powerful hair dryer,https://via.placeholder.com/150?text=Dyson+Hair+Dryer
4,Instant Pot Duo,140,Multi-function pressure cooker,https://via.placeholder.com/150?text=Instant+Pot+Duo2
4,Breville Coffee Maker,120,Automatic coffee machine,https://via.placeholder.com/150?text=Breville+Coffee+Maker
5,Treadmill Pro,650,Home fitness treadmill,https://via.placeholder.com/150?text=Treadmill+Pro
5,Exercise Bike,450,Stationary bike for home,https://via.placeholder.com/150?text=Exercise+Bike2
5,Dumbbell Set,110,Adjustable dumbbells,https://via.placeholder.com/150?text=Dumbbells+Set
5,Yoga Mat,38,Non-slip exercise mat,https://via.placeholder.com/150?text=Yoga+Mat2
5,Jump Rope,16,Speed skipping rope,https://via.placeholder.com/150?text=Jump+Rope2
